Taxon_ID,Clean_Scientific_Name,Display_Common_Name,Family,Genus,Kingdom_Group,Public_Display_Group,Friendly_Evidence_Level,Friendly_Evidence_Label,Public_Evidence_Status,Occurrence_Evidence_Score_0_5,Public_Confidence,Beginner_Role_Sentence,Public_Function_Summary,Trophic_Mode,Guild,Growth_Form,Interaction_State,Interaction_Summary,Source_Layers_Present,MyCoPortal_Records,GBIF_BBox_Records,GBIF_Preserved_Specimens,GBIF_Human_Observations,iNaturalist_Checklist_Listed,USDA_Refined_Records,Interaction_Rows,Primary_URL,iNaturalist_Checklist_URL,Citation_Note
taxon-0005,Agaricus placomyces,Inky Mushroom,Agaricaceae,Agaricus,True fungi / lichenized fungi,Lichens,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,decomposer,Saprotroph,Undefined Saprotroph,Agaricoid-Gasteroid-Secotioid,No merged interaction record,,"MyCoPortal, GBIF_bbox, iNaturalist_checklist, FUNGuild",1,1,0,1,Yes,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14618476,https://www.inaturalist.org/check_lists/624-Hays-Check-List?iconic_taxon=47170&page=2&view=plain,MyCoPortal; GBIF bbox first-pass; iNaturalist Hays checklist; FUNGuild
taxon-0003,Cyathus stercoreus,Dung-loving Bird's Nest Fungus,Agaricaceae,Cyathus,True fungi / lichenized fungi,Lichens,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,decomposer; host-associated / possible pathogen,Saprotroph,Plant Saprotroph|-Undefined Saprotroph,Gasteroid,Has merged interactions / hosts,,"MyCoPortal, GBIF_bbox, iNaturalist_checklist, FUNGuild, Interactions",1,18,0,18,Yes,0,1,https://mycoportal.org/portal/collections/individual/index.php?occid=14618474,https://www.inaturalist.org/check_lists/624-Hays-Check-List?iconic_taxon=47170&view=plain,MyCoPortal; GBIF bbox first-pass; iNaturalist Hays checklist; FUNGuild; Central Texas interactions
taxon-0001,Erysiphe polygoni,,Erysiphaceae,Erysiphe,True fungi / lichenized fungi,Plant disease / host-associated fungi,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,Known or inferred as a host-associated fungus; often best interpreted through its plant host records.,host-associated / possible pathogen,Pathotroph,Plant Pathogen,Microfungus,Has merged interactions / hosts,,"MyCoPortal, GBIF_bbox, iNaturalist_checklist, USDA_BPI_refined, FUNGuild, Interactions",1,14,12,2,Yes,1,8,https://mycoportal.org/portal/collections/individual/index.php?occid=3617859,https://www.inaturalist.org/check_lists/624-Hays-Check-List?iconic_taxon=47170&page=5&view=plain,MyCoPortal; GBIF bbox first-pass; iNaturalist Hays checklist; USDA BPI refined; FUNGuild; Central Texas interactions
taxon-0006,Helvella crispa,White Saddle,Helvellaceae,Helvella,True fungi / lichenized fungi,Plant-root partners / mycorrhizal fungi,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,May participate in below-ground plant-root relationships; local function still depends on habitat and host context.,plant-root partner,Symbiotroph,Ectomycorrhizal,Helvelloid,No merged interaction record,,"MyCoPortal, GBIF_bbox, iNaturalist_checklist, FUNGuild",1,4,0,4,Yes,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14617807,https://www.inaturalist.org/check_lists/624-Hays-Check-List?iconic_taxon=47170&page=4&view=plain,MyCoPortal; GBIF bbox first-pass; iNaturalist Hays checklist; FUNGuild
taxon-0004,Pisolithus arhizus,Dyeball,Sclerodermataceae,Pisolithus,True fungi / lichenized fungi,Plant-root partners / mycorrhizal fungi,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,May participate in below-ground plant-root relationships; local function still depends on habitat and host context.,plant-root partner; host-associated / possible pathogen,Symbiotroph,Ectomycorrhizal,Gasteroid,Has merged interactions / hosts,,"MyCoPortal, GBIF_bbox, iNaturalist_checklist, FUNGuild, Interactions",2,13,0,13,Yes,0,2,https://mycoportal.org/portal/collections/individual/index.php?occid=13503129,https://www.inaturalist.org/check_lists/624-Hays-Check-List?iconic_taxon=47170&page=3&view=plain,MyCoPortal; GBIF bbox first-pass; iNaturalist Hays checklist; FUNGuild; Central Texas interactions
taxon-0007,Pisolithus tinctorius,Dead Man's Foot,Sclerodermataceae,Pisolithus,True fungi / lichenized fungi,Plant-root partners / mycorrhizal fungi,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,May participate in below-ground plant-root relationships; local function still depends on habitat and host context.,plant-root partner,Symbiotroph,Ectomycorrhizal,Gasteroid,No merged interaction record,,"MyCoPortal, GBIF_bbox, iNaturalist_checklist, FUNGuild",2,7,0,7,Yes,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14616528,https://www.inaturalist.org/check_lists/624-Hays-Check-List?iconic_taxon=47170&page=3&view=plain,MyCoPortal; GBIF bbox first-pass; iNaturalist Hays checklist; FUNGuild
taxon-0009,Tetrapyrgos nigripes,Black-stalked Marasmius,Marasmiaceae,Tetrapyrgos,True fungi / lichenized fungi,Lichens,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,decomposer,Saprotroph,Plant Saprotroph|-Undefined Saprotroph,Agaricoid,No merged interaction record,,"MyCoPortal, GBIF_bbox, iNaturalist_checklist, FUNGuild",1,1,0,1,Yes,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14618511,https://www.inaturalist.org/check_lists/624-Hays-Check-List?iconic_taxon=47170&view=plain,MyCoPortal; GBIF bbox first-pass; iNaturalist Hays checklist; FUNGuild
taxon-0011,Tremella fuciformis,Snow Fungus,Tremellaceae,Tremella,True fungi / lichenized fungi,Plant disease / host-associated fungi,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,Known or inferred as a host-associated fungus; often best interpreted through its plant host records.,host-associated / possible pathogen,Pathotroph,Fungal Parasite,Facultative Yeast,No merged interaction record,,"MyCoPortal, GBIF_bbox, iNaturalist_checklist, FUNGuild",2,17,0,17,Yes,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=13518150,https://www.inaturalist.org/check_lists/624-Hays-Check-List?iconic_taxon=47170&page=4&view=plain,MyCoPortal; GBIF bbox first-pass; iNaturalist Hays checklist; FUNGuild
taxon-0019,Albugo ipomoeae-panduranae,,,Albugo,,Still being studied / unresolved,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,The ecological job is not resolved yet in the merged sources.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=3558479,,MyCoPortal
taxon-0020,Amanita flavorubescens,,Amanitaceae,Amanita,True fungi / lichenized fungi,Lichens,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14618477,,MyCoPortal
taxon-0021,Armillaria tabescens,,Physalacriaceae,Armillaria,True fungi / lichenized fungi,Lichens,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14618487,,MyCoPortal
taxon-0016,Atkinsonella texensis,,Clavicipitaceae,Atkinsonella,True fungi / lichenized fungi,Lichens,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,host-associated / possible pathogen,,,,Has merged interactions / hosts,,"MyCoPortal, Interactions",1,0,0,0,,0,2,https://mycoportal.org/portal/collections/individual/index.php?occid=3945616,,MyCoPortal; Central Texas interactions
taxon-0022,Auricularia sp.,,,Auricularia,,Still being studied / unresolved,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,The ecological job is not resolved yet in the merged sources.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,2,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14616526,,MyCoPortal
taxon-0023,Boletus campestris,,Boletaceae,Boletus,True fungi / lichenized fungi,Lichens,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14618478,,MyCoPortal
taxon-0024,Boletus luridi,,,Boletus,,Still being studied / unresolved,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,The ecological job is not resolved yet in the merged sources.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14618479,,MyCoPortal
taxon-0025,Boletus miniato-olivaceus,,Boletaceae,Boletus,True fungi / lichenized fungi,Lichens,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,2,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14618480,,MyCoPortal
taxon-0026,Boletus sp.,,,Boletus,,Still being studied / unresolved,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,The ecological job is not resolved yet in the merged sources.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,12,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14616525,,MyCoPortal
taxon-0027,Cantharellus sp.,,,Cantharellus,,Still being studied / unresolved,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,The ecological job is not resolved yet in the merged sources.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,2,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14617481,,MyCoPortal
taxon-0017,Conocybe tenera,,Bolbitiaceae,Conocybe,True fungi / lichenized fungi,Lichens,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,function not yet resolved,,,,Has merged interactions / hosts,,"MyCoPortal, Interactions",1,0,0,0,,0,1,https://mycoportal.org/portal/collections/individual/index.php?occid=14618473,,MyCoPortal; Central Texas interactions
taxon-0028,Coprinus sp.,,,Coprinus,,Still being studied / unresolved,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,The ecological job is not resolved yet in the merged sources.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14617074,,MyCoPortal
taxon-0002,Cumminsiella texana,,Pucciniaceae,Cumminsiella,True fungi / lichenized fungi,Plant disease / host-associated fungi,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,Known or inferred as a host-associated fungus; often best interpreted through its plant host records.,host-associated / possible pathogen,Pathotroph,Plant Pathogen,Rust,Has merged interactions / hosts,,"MyCoPortal, GBIF_bbox, USDA_BPI_refined, FUNGuild, Interactions",1,18,18,0,,3,23,https://mycoportal.org/portal/collections/individual/index.php?occid=3456903,,MyCoPortal; GBIF bbox first-pass; USDA BPI refined; FUNGuild; Central Texas interactions
taxon-0029,Darluca filum,,Phaeosphaeriaceae,Darluca,True fungi / lichenized fungi,Lichens,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=2713593,,MyCoPortal
taxon-0012,Favolus tenuiculus,,Polyporaceae,Favolus,True fungi / lichenized fungi,Lichens,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,wood decomposer,Saprotroph,Wood Saprotroph,Polyporoid,No merged interaction record,,"MyCoPortal, GBIF_bbox, FUNGuild",1,207,1,206,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14618469,,MyCoPortal; GBIF bbox first-pass; FUNGuild
taxon-0030,Fomes sp.,,,Fomes,,Still being studied / unresolved,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,The ecological job is not resolved yet in the merged sources.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14616530,,MyCoPortal
taxon-0031,Ganoderma sp.,,,Ganoderma,,Still being studied / unresolved,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,The ecological job is not resolved yet in the merged sources.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14618481,,MyCoPortal
taxon-0032,Gloeoporus dichrous,,Meruliaceae,Gloeoporus,True fungi / lichenized fungi,Lichens,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14617410,,MyCoPortal
taxon-0033,Gymnopus luxurians,,Marasmiaceae,Gymnopus,True fungi / lichenized fungi,Lichens,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,function not yet resolved,,,,No merged interaction record,,MyCoPortal,1,0,0,0,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14618504,,MyCoPortal
taxon-0013,Gymnopus spongiosus,,Marasmiaceae,Gymnopus,True fungi / lichenized fungi,Lichens,Strong local evidence,Collected specimen or very strong local record,Hays voucher/specimen-confirmed,5,High local evidence,A lichenized fungus: a fungus living with algae or cyanobacteria as a shared body.,decomposer,Saprotroph,Plant Saprotroph,Agaricoid,No merged interaction record,,"MyCoPortal, GBIF_bbox, FUNGuild",3,1,0,1,,0,0,https://mycoportal.org/portal/collections/individual/index.php?occid=14617806,,MyCoPortal; GBIF bbox first-pass; FUNGuild
